Valores Confirmados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha;ALAMEDA;;CONCORDIA;;CUPRUM;;EL LIBERTADOR;;HABITAT;;INVIERTA;;PLANVITAL;;PROVIDA;;SAN CRISTOBAL;;SANTA MARIA;;SUMMA;;;;;;;;;;;;;;;;;;;;;;;
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;;;;;;;;;;;;;;;;;;;;;;
01-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
02-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
03-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
04-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
05-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
06-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
07-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
08-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
09-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
10-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
11-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
12-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
13-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
14-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
15-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
16-06-1981;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;100,00;0,00;;;;;;;;;;;;;;;;;;;;;;
17-06-1981;100,78;17141627,00;101,89;3125203,00;100,13;15704943,00;100,42;8861689,00;100,29;111416125,00;100,36;33909991,00;100,47;32447118,00;100,47;371617281,00;100,67;91582058,00;100,42;243472088,00;100,36;46994378,00;;;;;;;;;;;;;;;;;;;;;;
18-06-1981;100,87;17224013,00;101,90;3125499,00;100,19;15714621,00;100,48;8920863,00;100,37;111416125,00;100,47;34072970,00;100,55;32475443,00;100,54;375012364,00;100,75;92022221,00;100,51;259824118,00;100,44;47179106,00;;;;;;;;;;;;;;;;;;;;;;
19-06-1981;100,98;17660800,00;101,95;3130941,00;100,27;15726026,00;100,55;8988974,00;100,43;111416125,00;100,57;34937032,00;100,64;32504108,00;100,61;376085777,00;100,84;94355830,00;100,58;263188100,00;100,52;47312612,00;;;;;;;;;;;;;;;;;;;;;;
20-06-1981;100,98;17660800,00;101,95;3130941,00;100,27;15726026,00;100,55;8988974,00;100,43;111416125,00;100,57;34937032,00;100,64;32504108,00;100,61;376085777,00;100,84;94355830,00;100,58;263188100,00;100,52;47312612,00;;;;;;;;;;;;;;;;;;;;;;
21-06-1981;100,98;17660800,00;101,95;3130941,00;100,27;15726026,00;100,55;8988974,00;100,43;111416125,00;100,57;34937032,00;100,64;32504108,00;100,61;376085777,00;100,84;94355830,00;100,58;263188100,00;100,52;47312612,00;;;;;;;;;;;;;;;;;;;;;;
22-06-1981;101,24;17720412,00;102,15;3137621,00;100,47;15759706,00;100,76;9012343,00;100,63;111416125,00;100,89;35054958,00;100,91;32590889,00;100,81;376866915,00;101,08;94674316,00;100,81;266205760,00;100,76;47430348,00;;;;;;;;;;;;;;;;;;;;;;
23-06-1981;101,39;17768554,00;102,14;3175798,00;100,55;15774908,00;100,94;9037680,00;100,69;111416125,00;101,00;35150193,00;101,00;32261254,00;100,89;378123685,00;101,16;94931520,00;100,89;268025267,00;100,84;47495779,00;;;;;;;;;;;;;;;;;;;;;;
24-06-1981;101,47;17799084,00;102,31;3181093,00;100,63;15786322,00;101,03;9046518,00;100,76;111416125,00;101,10;35210588,00;101,10;32651515,00;100,98;378581162,00;101,24;95094633,00;100,96;268558922,00;100,95;47597355,00;;;;;;;;;;;;;;;;;;;;;;
25-06-1981;101,55;17907898,00;102,51;3187883,00;100,70;15797738,00;101,11;9057326,00;100,82;111416125,00;101,21;35425848,00;101,19;32682186,00;101,46;380667222,00;101,32;95675993,00;101,05;274275062,00;101,03;47674358,00;;;;;;;;;;;;;;;;;;;;;;
26-06-1981;101,64;17980248,00;102,59;3192103,00;100,77;15809181,00;101,23;9070935,00;100,73;111416125,00;101,31;35568972,00;101,29;32729889,00;101,59;381478766,00;101,40;96062535,00;101,17;276564218,00;101,24;47773616,00;;;;;;;;;;;;;;;;;;;;;;
27-06-1981;101,64;17980248,00;102,59;3192103,00;100,77;15809181,00;101,23;9070935,00;100,73;111416125,00;101,31;35568972,00;101,29;32729889,00;101,59;381478766,00;101,40;96062535,00;101,17;276564218,00;101,24;47773616,00;;;;;;;;;;;;;;;;;;;;;;
28-06-1981;101,64;17980248,00;102,59;3192103,00;100,77;15809181,00;101,23;9070935,00;100,73;111416125,00;101,31;35568972,00;101,29;32729889,00;101,59;381478766,00;101,40;96062535,00;101,17;276564218,00;101,24;47773616,00;;;;;;;;;;;;;;;;;;;;;;
29-06-1981;101,99;18038446,00;102,88;3200826,00;101,00;15844625,00;101,49;9094309,00;100,98;111416125,00;101,63;35684100,00;101,57;32847839,00;101,97;384406969,00;101,64;96373465,00;101,39;279268255,00;101,49;48020012,00;;;;;;;;;;;;;;;;;;;;;;
30-06-1981;102,15;18058766,00;103,01;3204904,00;101,11;15872023,00;101,54;8868303,00;101,05;114635467,00;101,73;35724297,00;101,69;32890061,00;102,05;384884093,00;101,72;96482027,00;101,47;279526985,00;101,58;48069785,00;;;;;;;;;;;;;;;;;;;;;;
