Valores Confirmados;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER;
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
01-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
02-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
03-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
04-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
05-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
06-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
07-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
08-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
09-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
10-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
11-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
12-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
13-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
14-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
15-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
16-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
17-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
18-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
19-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
20-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
21-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
22-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
23-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
24-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
25-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
26-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
27-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
28-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
29-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
30-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
31-08-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
01-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
02-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
03-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
04-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
05-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
06-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
07-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
08-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
09-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
10-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
11-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
12-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
13-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
14-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
15-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
16-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
17-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
18-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
19-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
20-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
21-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
22-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
23-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
24-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
25-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
26-09-2002;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00;10000,00;0,00
27-09-2002;10000,00;34486846646,00;10000,00;60385202462,00;10000,00;7296796614,00;10000,00;1280858021,00;10000,00;20971893564,00;9999,89;8436869595,00;10000,00;18868105346,00
28-09-2002;10000,00;34486846646,00;10000,00;60385202462,00;10000,00;7296796614,00;10000,00;1280858021,00;10000,00;20971893564,00;9999,89;8436869595,00;10000,00;18868105346,00
29-09-2002;10000,00;34486846646,00;10000,00;60385202462,00;10000,00;7296796614,00;10000,00;1280858021,00;10000,00;20971893564,00;9999,89;8436869595,00;10000,00;18868105346,00
30-09-2002;10019,26;34553283621,00;10017,93;60523529010,00;9974,85;7278442986,00;10032,67;1285390490,00;10013,13;20999433983,00;10001,76;8438449895,00;10011,37;18889564299,00
01-10-2002;9985,69;34437483807,00;9985,21;60325658765,00;9938,20;7251706427,00;9995,12;1280579214,00;9967,40;20912258178,00;9961,72;8404666155,00;10002,01;18871893621,00
02-10-2002;9962,16;34356351566,00;9964,53;60200360696,00;9913,92;7233985807,00;9953,90;1275298452,00;9943,42;20861887803,00;9949,61;8394449767,00;9977,86;18826337550,00
03-10-2002;9988,53;34447277933,00;9976,38;60270335428,00;9921,69;7239658849,00;9992,80;1280281937,00;9968,60;20914696139,00;9977,60;8418068674,00;9989,47;18848243748,00
04-10-2002;10011,25;34525636413,00;9988,63;60352957393,00;9947,94;7258808188,00;9996,58;1280765779,00;9967,37;20912115271,00;9981,78;8421592547,00;10003,03;18873461741,00
05-10-2002;10011,25;34525636413,00;9988,63;60352957393,00;9947,94;7258808188,00;9996,58;1280765779,00;9967,37;20912115271,00;9981,78;8421592547,00;10003,03;18873461741,00
06-10-2002;10011,25;34525636413,00;9988,63;60352957393,00;9947,94;7258808188,00;9996,58;1280765779,00;9967,37;20912115271,00;9981,78;8421592547,00;10003,03;18873461741,00
07-10-2002;10004,42;44754792904,00;9989,39;60357272134,00;9973,35;7277348544,00;9977,44;1278313298,00;9972,04;20918545811,00;9981,56;8421411210,00;10017,70;18901135550,00
08-10-2002;10008,48;44772934973,00;10003,29;60394082276,00;10005,95;7293093688,00;9982,91;1279014722,00;9984,12;20943608306,00;9996,05;8432963444,00;10032,75;18929532899,00
09-10-2002;9988,69;44683313054,00;10003,64;60335231798,00;10014,96;7299648719,00;9976,79;1278231026,00;9986,38;20921380406,00;10001,37;8426745238,00;10035,66;18915152846,00
10-10-2002;10015,04;44801214237,00;10014,58;60392956141,00;10001,87;7290110160,00;9991,57;1280123509,00;9986,04;20920646990,00;9995,56;8421846277,00;10045,02;18932796120,00
11-10-2002;10006,07;52610248619,00;9997,76;60640062223,00;9976,93;7271931814,00;9971,96;1275728888,00;9967,05;20880790752,00;9979,28;8408111121,00;10021,08;33596885247,00
12-10-2002;10006,07;52610248619,00;9997,76;60640062223,00;9976,93;7271931814,00;9971,96;1275728888,00;9967,05;20880790752,00;9979,28;8408111121,00;10021,08;33596885247,00
13-10-2002;10006,07;52610248619,00;9997,76;60640062223,00;9976,93;7271931814,00;9971,96;1275728888,00;9967,05;20880790752,00;9979,28;8408111121,00;10021,08;33596885247,00
14-10-2002;9977,38;52459399108,00;9975,19;60495872270,00;9978,79;7264600367,00;9970,31;1275517705,00;9975,93;20899335196,00;9961,61;8393207669,00;10036,97;33619295946,00
15-10-2002;10012,22;52543890342,00;10000,37;60647887496,00;9951,19;7246132703,00;9999,44;1279291674,00;9981,93;20911860037,00;10007,72;8432054642,00;10080,82;33731331119,00
16-10-2002;10003,50;52368023754,00;9989,29;60579546412,00;9963,89;7255381181,00;10004,83;1279981507,00;9980,02;20907711612,00;9995,36;8421642801,00;10084,35;33743164422,00
17-10-2002;10014,03;52423121049,00;10002,39;60657906183,00;9987,87;7340455506,00;10031,19;1282971665,00;9984,14;20914580750,00;10024,73;8446295123,00;10111,60;33834322521,00
18-10-2002;9995,38;52268911510,00;9986,59;84590549938,00;9988,29;7340725834,00;10011,64;1280471273,00;9985,38;20914195037,00;10014,93;8437371658,00;10090,01;33764663763,00
19-10-2002;9995,38;52268911510,00;9986,59;84590549938,00;9988,29;7340725834,00;10011,64;1280471273,00;9985,38;20914195037,00;10014,93;8437371658,00;10090,01;33764663763,00
20-10-2002;9995,38;52268911510,00;9986,59;84590549938,00;9988,29;7340725834,00;10011,64;1280471273,00;9985,38;20914195037,00;10014,93;8437371658,00;10090,01;33764663763,00
