Valores Confirmados;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER;
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
01-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
02-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
03-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
04-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
05-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
06-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
07-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
08-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
09-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
10-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
11-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
12-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
13-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
14-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
15-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
16-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
17-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
18-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
19-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
20-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
21-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
22-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
23-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
24-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
25-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
26-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
27-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
28-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
29-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
30-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
31-03-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
01-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
02-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
03-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
04-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
05-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
06-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
07-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
08-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
09-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
10-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
11-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
12-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
13-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
14-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
15-04-2000;10000;0;10000;0;9000;0;17700;0;10000;0;10000;0;10000;0;10000;0
