
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2024-01-01;57.198,07;5095890133483;59.113,35;4557827076022;54.231,55;6124284097128;57.740,48;1610789764184;90.785,08;1144991488879;53.355,66;4017799511320;58.232,97;208252819259
2024-01-02;57.267,28;5099624958181;59.158,74;4561227630335;54.303,53;6133910156413;57.797,50;1611579280823;90.876,43;1148943207829;53.393,06;4013589636896;58.313,73;209584850247
2024-01-03;56.930,22;5071348847444;58.807,17;4531678297743;53.989,82;6093304620441;57.469,24;1602004018707;90.397,70;1142470798746;53.062,48;3985968928093;58.003,86;208307952070
2024-01-04;56.664,24;5039291509818;58.505,20;4502274422518;53.722,57;6061498658298;57.215,27;1594477704036;89.998,64;1135944780045;52.798,94;3961969905459;57.750,08;207087657033
2024-01-05;56.494,00;5020102298285;58.315,03;4484678856690;53.567,85;6035601407445;57.061,71;1589371524953;89.785,84;1133095969940;52.632,14;3949702474915;57.605,76;206395379862
2024-01-06;56.494,00;5020102298285;58.315,03;4484678856690;53.567,85;6035601407445;57.061,71;1589371524953;89.785,84;1133095969940;52.632,14;3949702474915;57.605,76;206395379862
2024-01-07;56.494,00;5020102298285;58.315,03;4484678856690;53.567,85;6035601407445;57.061,71;1589371524953;89.785,84;1133095969940;52.632,14;3949702474915;57.605,76;206395379862
2024-01-08;56.407,00;5009245380003;58.234,21;4472210341818;53.487,35;6025783321213;56.959,79;1585812837524;89.701,92;1132288327844;52.551,16;3941068408188;57.512,95;205979798931
2024-01-09;56.228,83;4992305982707;58.087,37;4458482125916;53.323,38;6004504242544;56.742,15;1579912231487;89.347,12;1126891559200;52.425,21;3930944071682;57.283,54;204980989761
2024-01-10;56.193,47;4991812489252;58.102,27;4459144412337;53.313,32;6004847021298;56.722,95;1578993095789;89.339,81;1127669181468;52.428,80;3930839314442;57.260,78;204927815054
2024-01-11;56.221,40;4987450593956;58.140,33;4452723675922;53.330,74;6003974309549;56.758,19;1579915546649;89.402,13;1128360489435;52.473,78;3933675974773;57.286,51;205136222657
2024-01-12;56.176,46;4965933849511;58.077,54;4431078136966;53.281,84;5968963736215;56.705,96;1577538754852;89.296,26;1126184955364;52.424,48;3921591327465;57.246,17;204788205424
2024-01-13;56.176,46;4965933849511;58.077,54;4431078136966;53.281,84;5968963736215;56.705,96;1577538754852;89.296,26;1126184955364;52.424,48;3921591327465;57.246,17;204788205424
2024-01-14;56.176,46;4965933849511;58.077,54;4431078136966;53.281,84;5968963736215;56.705,96;1577538754852;89.296,26;1126184955364;52.424,48;3921591327465;57.246,17;204788205424
2024-01-15;56.444,61;4960647686437;58.330,67;4434228129223;53.522,31;5961087922829;56.945,90;1583695013249;89.654,17;1135188700048;52.709,68;3929318497655;57.477,56;206653005566
2024-01-16;56.507,29;4947627429347;58.410,82;4432156119695;53.610,18;5949555172937;57.016,37;1585469057320;89.740,60;1136671198526;52.757,94;3932035683317;57.536,90;207158904380
2024-01-17;56.341,81;4923359901375;58.299,53;4417373998284;53.490,63;5928872712761;56.880,74;1582506058410;89.638,53;1135633023797;52.645,98;3924987674732;57.423,86;206854193398
2024-01-18;56.154,92;4895726353116;58.108,75;4399988382465;53.300,61;5902711726893;56.741,96;1579582259986;89.403,72;1133971569528;52.458,53;3914321901333;57.269,26;206490952589
2024-01-19;55.980,98;4867015809647;57.945,82;4382983376820;53.114,75;5875229322481;56.541,17;1572984625621;89.135,53;1129719879877;52.309,94;3903702094629;57.084,67;205385603301
2024-01-20;55.980,98;4867015809647;57.945,82;4382983376820;53.114,75;5875229322481;56.541,17;1572984625621;89.135,53;1129719879877;52.309,94;3903702094629;57.084,67;205385603301
2024-01-21;55.980,98;4867015809647;57.945,82;4382983376820;53.114,75;5875229322481;56.541,17;1572984625621;89.135,53;1129719879877;52.309,94;3903702094629;57.084,67;205385603301
2024-01-22;55.809,77;4844230154572;57.786,25;4368060121191;52.940,00;5853002323727;56.398,00;1568237090766;88.927,59;1126294290917;52.133,52;3890058909546;56.970,62;205033635268
2024-01-23;55.852,05;4854416042390;57.834,47;4384851061910;52.999,07;5885605248883;56.427,66;1570097167228;88.958,07;1127694088359;52.197,71;3900028442735;56.990,28;205346656916
2024-01-24;55.875,37;4865137820675;57.887,67;4391161264192;53.050,52;5893161333527;56.481,57;1571949184687;89.051,16;1128892687421;52.239,51;3903108905414;57.031,78;205582479795
2024-01-25;56.111,67;4875272166026;58.138,93;4404096818038;53.290,13;5916261140449;56.741,68;1578849976053;89.428,08;1133261679312;52.466,08;3918433873460;57.285,23;206467772029
2024-01-26;56.172,79;4875869298773;58.207,30;4403043793896;53.351,21;5918354878637;56.790,93;1580058087482;89.499,00;1133413545139;52.528,58;3921786185410;57.338,45;206480087529
2024-01-27;56.172,79;4875869298773;58.207,30;4403043793896;53.351,21;5918354878637;56.790,93;1580058087482;89.499,00;1133413545139;52.528,58;3921786185410;57.338,45;206480087529
2024-01-28;56.172,79;4875869298773;58.207,30;4403043793896;53.351,21;5918354878637;56.790,93;1580058087482;89.499,00;1133413545139;52.528,58;3921786185410;57.338,45;206480087529
2024-01-29;56.164,81;4870573887618;58.203,42;4398780097091;53.344,52;5910639440126;56.787,68;1578708316344;89.480,78;1132189993512;52.543,63;3920881392386;57.326,88;206290899237
2024-01-30;56.349,69;4883168119992;58.408,57;4407677345121;53.535,12;5921929723581;56.971,29;1582837067597;89.770,02;1134707216873;52.710,82;3930875070103;57.507,33;206467978466
2024-01-31;56.480,55;4891219452919;58.540,45;4413545955628;53.649,07;5927539495121;57.098,84;1585715385001;89.968,97;1136861553995;52.828,66;3937996818856;57.651,67;206792216799
2024-02-01;56.995,14;4921490814108;59.026,68;4446353820188;54.115,03;5973596840230;57.586,15;1597855186742;90.637,34;1146212889769;53.316,84;3964064269543;58.085,76;210619999169
